hfpxzc href,qBF1Pd,e4rVHe,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,W4Efsd 7,UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,MW4etd,UY7F9,ah5Ghc,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
https://www.google.com.br/maps/place/Ahava+Pharmaceuticals/data=!4m7!3m6!1s0x864c3bd0157b408b:0xd6aa9540610288f4!8m2!3d33.085562!4d-96.8373235!16s%2Fg%2F11vdz_01l_!19sChIJi0B7FdA7TIYR9IgCYUCVqtY?authuser=0&hl=pt-BR&rclk=1,Ahava Pharmaceuticals,Nenhuma avaliação,Empresa farmacêutica,·,,·,7950 Legacy Dr Suite 400,Fechado,· Abre seg. às 12:00,·,#ERROR!,https://www.ahavapharma.com/,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Cencora/data=!4m7!3m6!1s0x864c2538e9c43b67:0x36ec34018ff84a74!8m2!3d33.05002!4d-96.8721558!16s%2Fg%2F11g4v3gvys!19sChIJZzvE6TglTIYRdEr4jwE07DY?authuser=0&hl=pt-BR&rclk=1,Cencora,,Empresa farmacêutica,·,,·,5025 Plano Pkwy,,,,,http://www.cencora.com/,,Website,,Rotas,"4,6",-19,,
https://www.google.com.br/maps/place/Bayer+Consumer+Care/data=!4m7!3m6!1s0x864c3cbc1d1e7f81:0xbe9bac5ac1fcd97d!8m2!3d33.0901951!4d-96.8191899!16s%2Fg%2F1ts2_pbv!19sChIJgX8eHbw8TIYRfdn8wVqsm74?authuser=0&hl=pt-BR&rclk=1,Bayer Consumer Care,,Empresa farmacêutica,·,,·,5601 Granite Pkwy,,,,#ERROR!,http://www.bayer.com/,,Website,,Rotas,1,-2,,
"https://www.google.com.br/maps/place/ASD+Healthcare,+a+company+of+AmerisourceBergen/data=!4m7!3m6!1s0x864c3c9ac2be5423:0xd26305aae3fa5c4c!8m2!3d33.048413!4d-96.8719604!16s%2Fg%2F1tgjlprv!19sChIJI1S-wpo8TIYRTFz646oFY9I?authuser=0&hl=pt-BR&rclk=1","ASD Healthcare, a company of AmerisourceBergen",,Empresa farmacêutica,·,,·,5025 Plano Pkwy,Aberto 24 horas,,·,#ERROR!,http://www.asdhealthcare.com/,,Website,,Rotas,"3,9",-23,,
https://www.google.com.br/maps/place/Pharmaceutical+Strategies+Group/data=!4m7!3m6!1s0x864c3ccb0871081f:0xf974de27426fc2b6!8m2!3d33.0756898!4d-96.8102841!16s%2Fg%2F11bbrgy85q!19sChIJHwhxCMs8TIYRtsJvQifedPk?authuser=0&hl=pt-BR&rclk=1,Pharmaceutical Strategies Group,,Consultoria empresarial,·,,·,5360 Legacy Dr building 3 suite 230,Fechado,· Abre seg. às 08:00,·,#ERROR!,http://www.psgconsults.com/,,Website,,Rotas,5,-1,,
https://www.google.com.br/maps/place/MyMD+Pharmaceuticals/data=!4m7!3m6!1s0x864c23631315a853:0x73d72c99b1c6ebf5!8m2!3d33.04027!4d-96.8311639!16s%2Fg%2F11vk2lzds6!19sChIJU6gVE2MjTIYR9evGsZks13M?authuser=0&hl=pt-BR&rclk=1,MyMD Pharmaceuticals,Nenhuma avaliação,Empresa farmacêutica,·,,·,2901 Dallas Pkwy,,,,#ERROR!,https://ir.mymd.com/company-information/contacts,,Website,,Rotas,,,,
https://www.google.com.br/maps/place/Orano+Med/data=!4m7!3m6!1s0x89b7c97ad60b0a53:0xdf7ace5ea3209409!8m2!3d33.0078706!4d-96.6682946!16s%2Fg%2F1262ztm77!19sChIJUwoL1nrJt4kRCZQgo17Oet8?authuser=0&hl=pt-BR&rclk=1,Orano Med,,Empresa farmacêutica,·,,·,700 Klein Rd,Fechado,· Abre seg. às 08:00,·,#ERROR!,http://www.oranomed.com/,,Website,,Rotas,"2,5",-2,,
https://www.google.com.br/maps/place/SYMPT%E2%80%A2X/data=!4m7!3m6!1s0x864c1ee352dea2f9:0x627406685c210b62!8m2!3d33.0113077!4d-96.689104!16s%2Fg%2F11b70bbkl1!19sChIJ-aLeUuMeTIYRYgshXGgGdGI?authuser=0&hl=pt-BR&rclk=1,SYMPT•X,Nenhuma avaliação,Empresa farmacêutica,·,,·,1607 Capital Ave,Fechado,· Abre seg. às 09:00,·,#ERROR!,http://symptx.com/,,Website,,Rotas,,,,
